iter	Passed	Remaining
0	201	40141
1	223	22157
2	237	15595
3	251	12315
4	265	10345
5	279	9037
6	287	7937
7	293	7043
8	306	6508
9	320	6087
10	334	5747
11	348	5453
12	361	5205
13	375	4987
14	388	4790
15	401	4616
16	416	4484
17	430	4348
18	444	4230
19	458	4122
20	471	4019
21	485	3924
22	498	3838
23	513	3764
24	527	3693
25	541	3625
26	557	3569
27	574	3526
28	590	3481
29	605	3431
30	619	3376
31	633	3326
32	647	3277
33	665	3246
34	684	3229
35	700	3191
36	715	3152
37	732	3122
38	749	3094
39	765	3060
40	782	3035
41	797	3001
42	815	2979
43	831	2948
44	846	2917
45	864	2893
46	879	2861
47	893	2828
48	907	2795
49	921	2764
50	935	2734
51	950	2705
52	964	2675
53	978	2645
54	992	2617
55	1007	2589
56	1024	2570
57	1039	2545
58	1056	2524
59	1071	2499
60	1085	2473
61	1099	2446
62	1113	2421
63	1127	2395
64	1141	2370
65	1155	2345
66	1169	2320
67	1182	2296
68	1196	2272
69	1211	2249
70	1225	2225
71	1229	2185
72	1243	2163
73	1257	2141
74	1273	2122
75	1288	2101
76	1302	2081
77	1316	2059
78	1330	2037
79	1344	2016
80	1358	1996
81	1372	1975
82	1386	1954
83	1405	1940
84	1434	1940
85	1458	1933
86	1484	1928
87	1508	1919
88	1529	1907
89	1547	1891
90	1565	1874
91	1584	1860
92	1600	1841
93	1621	1828
94	1639	1812
95	1656	1794
96	1675	1778
97	1692	1761
98	1715	1749
99	1734	1734
100	1753	1718
101	1770	1700
102	1784	1680
103	1798	1659
104	1813	1640
105	1828	1621
106	1844	1602
107	1860	1585
108	1876	1566
109	1892	1548
110	1908	1530
111	1924	1511
112	1938	1492
113	1952	1472
114	1966	1453
115	1981	1434
116	1995	1415
117	2009	1396
118	2028	1380
119	2053	1368
120	2077	1356
121	2094	1339
122	2111	1322
123	2127	1303
124	2141	1284
125	2155	1266
126	2170	1247
127	2184	1228
128	2198	1210
129	2212	1191
130	2226	1172
131	2240	1154
132	2254	1135
133	2268	1117
134	2282	1098
135	2296	1080
136	2314	1064
137	2330	1047
138	2347	1030
139	2363	1012
140	2379	995
141	2394	978
142	2408	960
143	2423	942
144	2437	924
145	2452	907
146	2467	889
147	2483	872
148	2498	855
149	2513	837
150	2526	819
151	2540	802
152	2554	784
153	2570	767
154	2583	750
155	2598	732
156	2613	715
157	2627	698
158	2642	681
159	2656	664
160	2670	646
161	2684	629
162	2699	612
163	2715	596
164	2729	578
165	2743	561
166	2757	544
167	2771	527
168	2785	511
169	2799	494
170	2812	477
171	2826	460
172	2841	443
173	2858	427
174	2875	410
175	2889	394
176	2903	377
177	2916	360
178	2930	343
179	2944	327
180	2959	310
181	2973	294
182	2987	277
183	3001	261
184	3016	244
185	3029	228
186	3044	211
187	3059	195
188	3073	178
189	3087	162
190	3103	146
191	3118	129
192	3132	113
193	3147	97
194	3161	81
195	3175	64
196	3189	48
197	3203	32
198	3216	16
199	3231	0
